cat_id,cat_nombre,slug_carpeta,hero_archivo,hero_url_nueva,total_imgs_desc,todas_imagenes
35,"&#x1f947;Cursos bonificados de Transporte",cursos-bonificados-de-transporte,"CURSOS ONLINE TRANSPORTE .jpg",https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-transporte/CURSOSONLINETRANSPORTE.jpg,3,"CURSOS ONLINE TRANSPORTE .jpg | Diploma-acreditativo-Gestion-Pymes-Transporte.png | Diploma-transporte-2023.png"
38,"&#x1f947;Cursos bonificados en Barcelona",cursos-bonificados-en-barcelona,5e72a8beac21d.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-en-barcelona/5e72a8beac21d.jpg,3,"5e72a8beac21d.jpg | Diploma-acreditativo-de-INGLES-PRE-INTERMEDIO.png | Diploma Ciberaula 2022.png"
129,"&#x1f947;Cursos bonificados online de Digitalización en la empresa",cursos-bonificados-online-de-digitalizaci-n-en-la-empresa,Digitalizacion-en-la-empresa.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-online-de-digitalizaci-n-en-la-empresa/Digitalizacion-en-la-empresa.png,3,"Digitalizacion-en-la-empresa.png | Diploma-acreditativo-de-digitalizacion-en-la-empresa.png | Diploma-digitalizacion-en-la-empresa-2022.png"
75,"&#x1f947;Cursos bonificados online de Prevención del COVID 19&#x1f947;",cursos-bonificados-online-de-prevenci-n-del-covid-19,PrevencionCovid19.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-online-de-prevenci-n-del-covid-19/PrevencionCovid19.png,2,"PrevencionCovid19.png | Prevencion-Covid-19.png"
135,"&#x1f947;Cursos bonificados online de salud mental",cursos-bonificados-online-de-salud-mental,Salud-Mental.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-online-de-salud-mental/Salud-Mental.jpg,3,"Salud-Mental.jpg | Diploma-acreditativo-de-salud-mental.png | Diploma-salud-mental-2022.png"
85,"&#x1f947;Cursos bonificados para trabajadores 2020",cursos-bonificados-para-trabajadores-2020,Trabajadores2020.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-para-trabajadores-2020/Trabajadores2020.png,2,"Trabajadores2020.png | Trabajadores2020secundari.png"
76,"&#x1f947;Cursos Bonificados por la Seguridad Social",cursos-bonificados-por-la-seguridad-social,SeguridadSocialCiberaula.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-por-la-seguridad-social/SeguridadSocialCiberaula.png,4,"SeguridadSocialCiberaula.png | SeguridadSocial.jpg | Diploma-acreditativo-de-Excel.png | Diploma-Ciberaula-2022-Excel.png"
55,"&#x1f947;Cursos de ingles en Barcelona",cursos-de-ingles-en-barcelona,InglesBarcelona.png,https://dev.ciberaula.org/images/categorias/cursos-de-ingles-en-barcelona/InglesBarcelona.png,2,"InglesBarcelona.png | InglesBarce.jpg"
54,"&#x1f947;Cursos de ingles en Madrid",cursos-de-ingles-en-madrid,InglesMadrid.png,https://dev.ciberaula.org/images/categorias/cursos-de-ingles-en-madrid/InglesMadrid.png,2,"InglesMadrid.png | 96191938-imagen-de-la-joven-dama-de-negocios-feliz-trabajando-y-usando-su-computadora-portátil-y-teléfono-móvil-sent.jpg"
124,"&#x1f947;Cursos online bonificados de Alemán",cursos-online-bonificados-de-alem-n,CursosBonificadosDeAleman.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-alem-n/CursosBonificadosDeAleman.png,3,"CursosBonificadosDeAleman.png | Diploma-acreditativo-de-Aleman-A2.png | Diploma-Aleman-2023.png"
110,"&#x1f947;Cursos online bonificados de Árabe",cursos-online-bonificados-de-rabe,CursosOnlineBonificadosDeArabe.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-rabe/CursosOnlineBonificadosDeArabe.png,3,"CursosOnlineBonificadosDeArabe.png | Diploma-acreditativo-Arabe.png | Diploma-Arabe-2023.png"
97,"&#x1f947;Cursos Online Bonificados de Big Data",cursos-online-bonificados-de-big-data,BigDataPrima.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-big-data/BigDataPrima.png,3,"BigDataPrima.png | Diploma-acreditativo-big-data.png | Diploma-big-data-2023.png"
127,"&#x1f947;Cursos Online Bonificados de Blockchain",cursos-online-bonificados-de-blockchain,"Cursos Online Bonificados  de Blockchain.png",https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-blockchain/CursosOnlineBonificadosdeBlockchain.png,4,"Cursos Online Bonificados  de Blockchain.png | Cursos Bonificados de Blockchain.jpg | Diploma-acreditativo-Fundamentos-blockchain.png | Diploma-Blockchain-2022.png"
119,"&#x1f947;Cursos online bonificados de cocina",cursos-online-bonificados-de-cocina,CursosOnlineBonificadosDeCocina.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-cocina/CursosOnlineBonificadosDeCocina.png,3,"CursosOnlineBonificadosDeCocina.png | Diploma-acreditativo-de-Cocina.png | Diploma-alimentacion-y-hosteleria-2023.png"
93,"&#x1f947;Cursos Online Bonificados de Consumo y Comercio",cursos-online-bonificados-de-consumo-y-comercio,bolsa-de-valores.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-consumo-y-comercio/bolsa-de-valores.png,2,"bolsa-de-valores.png | bolsaSecundaria.png"
126,"&#x1f947;Cursos online bonificados de Criptomonedas",cursos-online-bonificados-de-criptomonedas,CursoOnlineCriptomonedas.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-criptomonedas/CursoOnlineCriptomonedas.png,3,"CursoOnlineCriptomonedas.png | _Diploma-acreditativo-de-Estructura-Datos-Innovaciones-tecnologia-financiera.png | Diploma-criptomonedas-2022.png"
92,"&#x1f947;Cursos Online Bonificados de Diseño 3D",cursos-online-bonificados-de-dise-o-3d,Diseno3DPrimaria.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-dise-o-3d/Diseno3DPrimaria.png,2,"Diseno3DPrimaria.png | diseno3dSecundaria.png"
130,"&#x1f947;Cursos online Bonificados de Excel",cursos-online-bonificados-de-excel,ExcelOnlineModalidades.jpg,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-excel/ExcelOnlineModalidades.jpg,3,"ExcelOnlineModalidades.jpg | Diploma-acreditativo-de-Excel.png | Diploma-Ciberaula-2022-Excel.png"
105,"&#x1f947;Cursos Online Bonificados de Finanzas",cursos-online-bonificados-de-finanzas,FinanzasPrimaria.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-finanzas/FinanzasPrimaria.png,3,"FinanzasPrimaria.png | Diploma-acreditativo-Finanzas.png | Diploma-Finanzas-2023.png"
133,"&#x1f947;Cursos online bonificados de francés",cursos-online-bonificados-de-franc-s,CursosBonificadosDeFrances.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-franc-s/CursosBonificadosDeFrances.png,4,"CursosBonificadosDeFrances.png | Modalidades-Frances.jpg | Diploma-acreditativo-de-Frances-A1.png | Diploma-Frances-2023.png"
115,"&#x1f947;Cursos online Bonificados de Habilidades Blandas",cursos-online-bonificados-de-habilidades-blandas,Bonificacion.png,https://www.ciberaula.org/pluginfile.php/6226/coursecat/description/Bonificacion.png,0,
91,"&#x1f947;Cursos online bonificados de informática",cursos-online-bonificados-de-inform-tica,Informatica.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-inform-tica/Informatica.png,3,"Informatica.png | Diploma-acreditativo-administracion-del-gestor-de-datos-en-sistemas-erp-crm-2.png | Diploma-administracion-del-gestor-de-datos-en-sistemas-erp-crm-2.png"
94,"&#x1f947;cursos online bonificados de Linux",cursos-online-bonificados-de-linux,linux.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-linux/linux.png,2,"linux.png | HombreLinux.png"
122,"&#x1f947;Cursos online bonificados de Outlook",cursos-online-bonificados-de-outlook,Curso-online-de-Outlook.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-outlook/Curso-online-de-Outlook.png,3,"Curso-online-de-Outlook.png | Diploma-acreditativo-Outlook.png | Diploma-Outlook-2023.png"
98,"&#x1f947;Cursos Online Bonificados de Periodismo",cursos-online-bonificados-de-periodismo,PerioPrima.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-periodismo/PerioPrima.png,3,"PerioPrima.png | Diploma-acreditativo-Periodismo.png | Diploma-Periodismo-2023.png"
131,"&#x1f947;Cursos online bonificados de Protección de Datos",cursos-online-bonificados-de-protecci-n-de-datos,ProteccionDatos.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-protecci-n-de-datos/ProteccionDatos.png,3,"ProteccionDatos.png | Diploma-acreditativo-de-proteccion-de-datos.png | Diploma-Proteccion-de-Datos-2023.png"
99,"&#x1f947;cursos online Bonificados de Python",cursos-online-bonificados-de-python,Python.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-python/Python.png,2,"Python.png | python.jpg"
132,"&#x1f947;Cursos Online Bonificados de Python",cursos-online-bonificados-de-python,Python.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-python/Python.png,3,"Python.png | Diploma-acreditativo-Python.png | Diploma-Python-2023.png"
118,"&#x1f947;Cursos online bonificados de redes sociales",cursos-online-bonificados-de-redes-sociales,"redes sociales_1.png",https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-redes-sociales/redessociales_1.png,3,"redes sociales_1.png | Diploma-acreditativo-Redes sociales.png | Diploma-Redes sociales-2023.png"
103,"&#x1f947;Cursos Online Bonificados de Robótica",cursos-online-bonificados-de-rob-tica,RoboticaPrimaria.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-rob-tica/RoboticaPrimaria.png,3,"RoboticaPrimaria.png | Diploma-acreditativo-Robotica.png | Diploma-Robotica-2023.png"
114,"&#x1f947;Cursos online bonificados de Ruso",cursos-online-bonificados-de-ruso,CursoBonificadoRuso.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-ruso/CursoBonificadoRuso.png,3,"CursoBonificadoRuso.png | Diploma-acreditativo-Ruso.png | Diploma-Ruso-2023.png"
100,"&#x1f947;Cursos Online Bonificados de Seguridad Informática",cursos-online-bonificados-de-seguridad-inform-tica,SeguridadInformatica.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-seguridad-inform-tica/SeguridadInformatica.png,3,"SeguridadInformatica.png | Diploma-acreditativo-Seguridad Informática.png | Diploma-Seguridad Informática-2023.png"
102,"&#x1f947;Cursos Online Bonificados de Turismo",cursos-online-bonificados-de-turismo,TurismoPrimaria.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-turismo/TurismoPrimaria.png,3,"TurismoPrimaria.png | Diploma-acreditativo-Turismo.png | Diploma-Turismo-2023.png"
108,"&#x1f947;cursos online bonificados de Wordpress",cursos-online-bonificados-de-wordpress,Wordpress.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-de-wordpress/Wordpress.png,3,"Wordpress.png | Diploma-acreditativo-Wordpress.png | Diploma-Wordpress-2023.png"
107,"&#x1f947;Cursos Online Bonificados Inteligencia Artificial",cursos-online-bonificados-inteligencia-artificial,InteArtifi.png,https://dev.ciberaula.org/images/categorias/cursos-online-bonificados-inteligencia-artificial/InteArtifi.png,3,"InteArtifi.png | Diploma-acreditativo-de-Inteligencia-Artificial.png | Diploma-inteligencia-artificial-2023.png"
4,"&#x1f947;Cursos online de Administración de empresas",cursos-online-de-administraci-n-de-empresas,Diploma-acreditativo-de-Adminitración-De-Empresas.png,https://dev.ciberaula.org/images/categorias/cursos-online-de-administraci-n-de-empresas/Diploma-acreditativo-de-Adminitracin-De-Empresas.png,2,"Diploma-acreditativo-de-Adminitración-De-Empresas.png | Diploma-administracion-de-empresas-2023.png"
